T,timestamp,xpos,ypos
-13.66,2022-04-26T10:25:47.0,923,628
-15.15,2022-04-26T10:26:32.0,1799,675
-16.02,2022-04-26T10:26:59.0,762,812
-16.32,2022-04-26T10:27:07.0,416,1741
-16.43,2022-04-26T10:27:11.0,1794,838
-16.91,2022-04-26T10:27:26.0,1648,1224
-17.12,2022-04-26T10:27:34.0,1158,1008
-17.12,2022-04-26T10:27:34.0,1124,1256
-17.12,2022-04-26T10:27:34.0,454,1421
-17.31,2022-04-26T10:27:38.0,1116,823
-17.46,2022-04-26T10:27:42.0,1659,666
-17.46,2022-04-26T10:27:42.0,1320,1028
-17.46,2022-04-26T10:27:42.0,1297,325
-17.51,2022-04-26T10:27:44.0,1136,1423
-17.51,2022-04-26T10:27:44.0,1135,1400
-17.61,2022-04-26T10:27:48.0,1804,340
-18.27,2022-04-26T10:28:07.0,1651,1008
-18.35,2022-04-26T10:28:09.0,288,1264
-18.45,2022-04-26T10:28:13.0,938,831
-18.45,2022-04-26T10:28:13.0,899,1242
-18.56,2022-04-26T10:28:17.0,299,1431
-19.27,2022-04-26T10:28:38.0,783,627
-19.4,2022-04-26T10:28:42.0,585,1716
-20.1,2022-04-26T10:29:02.0,582,1904
-20.1,2022-04-26T10:29:02.0,168,804
-20.25,2022-04-26T10:29:07.0,1825,1181
-20.48,2022-04-26T10:29:15.0,757,1747
-20.71,2022-04-26T10:29:21.0,740,1587
-20.92,2022-04-26T10:29:27.0,768,422
-21.08,2022-04-26T10:29:31.0,1518,1004
-21.11,2022-04-26T10:29:33.0,1297,1808
-21.11,2022-04-26T10:29:33.0,918,1927
-21.46,2022-04-26T10:29:44.0,1114,643
-21.46,2022-04-26T10:29:44.0,639,970
-21.46,2022-04-26T10:29:44.0,327,445
-21.57,2022-04-26T10:29:48.0,640,782
-21.93,2022-04-26T10:29:58.0,260,1754
-21.97,2022-04-26T10:30:00.0,1800,992
-22.05,2022-04-26T10:30:02.0,601,1426
-22.15,2022-04-26T10:30:04.0,1117,1618
-22.15,2022-04-26T10:30:04.0,893,1600
-22.25,2022-04-26T10:30:08.0,1121,442
-22.37,2022-04-26T10:30:10.0,287,1878
-22.37,2022-04-26T10:30:10.0,183,297
-22.5,2022-04-26T10:30:16.0,1781,1522
-22.5,2022-04-26T10:30:16.0,1608,1621
-22.5,2022-04-26T10:30:16.0,762,1900
-22.55,2022-04-26T10:30:18.0,621,601
-22.71,2022-04-26T10:30:23.0,1620,1942
-22.71,2022-04-26T10:30:23.0,919,440
-22.92,2022-04-26T10:30:27.0,429,1582
-22.97,2022-04-26T10:30:29.0,1447,1611
-23.02,2022-04-26T10:30:31.0,900,1766
-23.02,2022-04-26T10:30:31.0,264,1599
-23.08,2022-04-26T10:30:33.0,443,1257
-23.14,2022-04-26T10:30:35.0,877,1430
-23.14,2022-04-26T10:30:35.0,876,1451
-23.14,2022-04-26T10:30:35.0,821,1009
-23.19,2022-04-26T10:30:37.0,1443,1947
-23.19,2022-04-26T10:30:37.0,1440,1420
-23.19,2022-04-26T10:30:37.0,1110,286
-23.42,2022-04-26T10:30:43.0,762,1242
-23.72,2022-04-26T10:30:51.0,1301,1233
-23.72,2022-04-26T10:30:51.0,603,324
-23.77,2022-04-26T10:30:53.0,1293,446
-24.02,2022-04-26T10:31:02.0,1804,500
-24.02,2022-04-26T10:31:02.0,1468,1260
-24.1,2022-04-26T10:31:06.0,576,1566
-24.73,2022-04-26T10:31:22.0,1649,832
-25.07,2022-04-26T10:31:32.0,424,1898
-25.18,2022-04-26T10:31:36.0,1610,1446
-25.18,2022-04-26T10:31:36.0,597,1248
-25.31,2022-04-26T10:31:41.0,1795,1358
-25.31,2022-04-26T10:31:41.0,1493,829
-25.31,2022-04-26T10:31:41.0,1460,652
-25.41,2022-04-26T10:31:43.0,1142,1944
-25.75,2022-04-26T10:31:53.0,323,781
-25.75,2022-04-26T10:31:53.0,198,623
-25.91,2022-04-26T10:31:57.0,1791,1925
-25.91,2022-04-26T10:31:57.0,1443,1761
-25.91,2022-04-26T10:31:57.0,1312,832
-25.96,2022-04-26T10:31:59.0,1780,1745
-26.01,2022-04-26T10:32:01.0,324,630
-26.34,2022-04-26T10:32:11.0,905,292
-26.41,2022-04-26T10:32:13.0,208,979
-26.67,2022-04-26T10:32:22.0,460,770
-26.9,2022-04-26T10:32:28.0,1297,1384
-26.96,2022-04-26T10:32:30.0,460,476
-27.05,2022-04-26T10:32:34.0,1307,655
-27.27,2022-04-26T10:32:40.0,1268,1632
-27.27,2022-04-26T10:32:40.0,748,256
-27.56,2022-04-26T10:32:48.0,463,984
-27.72,2022-04-26T10:32:53.0,1439,318
-27.8,2022-04-26T10:32:55.0,454,618
-27.99,2022-04-26T10:33:01.0,315,986
-28.03,2022-04-26T10:33:03.0,1455,476
-28.98,2022-04-26T10:33:32.0,1288,1964
-29.49,2022-04-26T10:33:46.0,1639,313
-29.56,2022-04-26T10:33:48.0,744,1444
-29.72,2022-04-26T10:33:54.0,1657,491
-29.72,2022-04-26T10:33:54.0,1621,1760
-29.72,2022-04-26T10:33:54.0,324,301
-29.77,2022-04-26T10:33:56.0,620,460
-29.77,2022-04-26T10:33:56.0,463,295
-30.14,2022-04-26T10:34:07.0,210,453
